event,year,level,category,author,title,url,video
2013-06-20,2013,Experienced,Concurrency,Adam Hitchcock,Making DISQUS Realtime,https://us.pycon.org/2013/schedule/presentation/46/,http://pyvideo.org/video/1700/making-disqus-realtime-0
2013-06-08,2013,Novice,Best Practices/Patterns,Chris McDonough,API Design for Library Authors,https://us.pycon.org/2013/schedule/presentation/39/,http://pyvideo.org/video/1705/api-design-for-library-authors
2013-06-08,2013,Novice,Documentation,Doug Hellmann,Better Documentation Through Automation: Creating Sphinx Extensions,https://us.pycon.org/2013/schedule/presentation/89/,http://pyvideo.org/video/1703/better-documentation-through-automation-creating
2013-06-20,2013,Experienced,Best Practices/Patterns,Jeff Rush,The Magic of Metaprogramming,https://us.pycon.org/2013/schedule/presentation/99/,http://pyvideo.org/video/1695/the-magic-of-metaprogramming-0
2013-06-20,2013,Intermediate,GUI Programming,"Thomas Hansen, Mathieu Virbel",Kivy: Building GUI and Mobile apps with Python,https://us.pycon.org/2013/schedule/presentation/63/,http://pyvideo.org/video/1701/kivy-building-gui-and-mobile-apps-with-python
2013-06-20,2013,Intermediate,Concurrency,Armin Rigo,PyPy without the GIL,https://us.pycon.org/2013/schedule/presentation/37/,http://pyvideo.org/video/1739/pypy-without-the-gil
2013-06-08,2013,Novice,Community,Anna Ravenscroft,You can be a speaker at PyCon!,https://us.pycon.org/2013/schedule/presentation/54/,http://pyvideo.org/video/1728/you-can-be-a-speaker-at-pycon
2013-06-08,2013,Novice,Other,Ashwini Oruganti,Twisted Logic: Endpoints and Why You Shouldn't Be Scared of Twisted,https://us.pycon.org/2013/schedule/presentation/40/,http://pyvideo.org/video/1740/twisted-logic-endpoints-and-why-you-shouldnt-be
2013-06-20,2013,Intermediate,Science,Jeff Elmore,Measuring and modeling the complexity of children's books,https://us.pycon.org/2013/schedule/presentation/132/,http://pyvideo.org/video/1741/measuring-and-modeling-the-complexity-of-children
2013-06-08,2013,Novice,"Core Python (Language, Stdlib)",Brett Cannon,"Python 3.3: Trust Me, It's Better than 2.7",https://us.pycon.org/2013/schedule/presentation/117/,http://pyvideo.org/video/1730/python-33-trust-me-its-better-than-27
